Player id,Player,Position,Number,D.O.B,Age,Height (cm),Country,Caps,International goals
336722,Alan PULIDO,Forward,11,08.03.1991,23,176,Mexico,5,4
368902,Adam TAGGART,Forward,9,02.06.1993,21,172,Australia,4,3
362641,Reza GHOOCHANNEJAD,Forward,16,20.09.1987,26,181,Iran,13,9
314197,NEYMAR,Forward,10,05.02.1992,22,175,Brazil,48,31
212306,Didier DROGBA,Forward,11,11.03.1978,36,180,Ivory Coast,100,61
229884,David VILLA,Forward,7,03.12.1981,32,175,Spain,95,56
305372,Abel HERNANDEZ,Forward,8,08.08.1990,23,186,Uruguay,12,7
228599,Javier HERNANDEZ,Forward,14,01.06.1988,26,175,Mexico,61,35
300409,Edin DZEKO,Forward,11,17.03.1986,28,192,Bosnia & Herzegovina,62,35
184615,Klaas Jan HUNTELAAR,Forward,19,12.08.1983,30,187,Netherlands,61,34
271550,Gonzalo HIGUAIN,Forward,9,10.12.1987,26,184,Argentina,36,20
227851,Oribe PERALTA,Forward,19,12.01.1984,30,177,Mexico,27,15
354859,Islam SLIMANI,Forward,13,18.06.1988,26,188,Algeria,19,10
182206,Miroslav KLOSE,Forward,11,09.06.1978,36,182,Germany,131,68
217315,Robin VAN PERSIE,Forward,9,06.08.1983,30,186,Netherlands,84,43
286278,Shinji OKAZAKI,Forward,9,16.04.1986,28,174,Japan,75,38
270775,Luis SUAREZ,Forward,9,24.01.1987,27,181,Uruguay,77,39
233952,FRED,Forward,9,03.10.1983,30,186,Brazil,32,16
312316,Eric CHOUPO MOTING,Forward,13,23.03.1989,25,190,Cameroon,26,13
356411,Fabian SCHAER,Defender,22,20.12.1991,22,186,Switzerland,6,3
338673,Uche NWOFOR,Forward,19,17.09.1991,22,177,Nigeria,6,3
373224,Rickie LAMBERT,Forward,18,16.02.1982,32,188,England,4,2
379894,Miiko ALBORNOZ,Defender,3,30.11.1990,23,180,Chile,2,1
208353,Asamoah GYAN,Forward,3,22.11.1985,28,186,Ghana,77,38
296994,El Arabi SOUDANI,Forward,15,25.11.1987,26,177,Algeria,21,10
339508,Chris WONDOLOWSKI,Forward,18,28.01.1983,31,182,USA,19,9
213001,Tim CAHILL,Forward,4,06.12.1979,34,180,Australia,68,32
214384,EDUARDO_1,Forward,22,25.02.1983,31,177,Croatia,62,29
170667,Samuel ETOO,Forward,9,10.03.1981,33,181,Cameroon,117,54
271414,Carlo COSTLY,Forward,13,18.07.1982,31,190,Honduras,68,31
275096,Yoichiro KAKITANI,Forward,11,03.01.1990,24,177,Japan,11,5
270301,Eduardo VARGAS,Forward,11,20.11.1989,24,175,Chile,29,13
201200,CRISTIANO RONALDO,Forward,7,05.02.1985,29,185,Portugal,110,49
323623,Jerry BENGTSON,Forward,11,08.04.1987,27,187,Honduras,43,19
229397,Lionel MESSI,Forward,10,24.06.1987,26,169,Argentina,84,37
235097,Mubarak WAKASO,Midfielder,22,25.07.1990,23,171,Ghana,16,7
356399,Josip DRMIC,Forward,19,08.08.1992,21,182,Switzerland,7,3
196842,Wayne ROONEY,Forward,10,24.10.1985,28,176,England,90,38
228528,Sergio AGUERO,Forward,20,02.06.1988,26,172,Argentina,50,21
309716,Teofilo GUTIERREZ,Forward,9,17.05.1985,29,180,Columbia,29,12
301059,Mario BALOTELLI,Forward,9,12.08.1990,23,189,Italy,29,12
364763,Emmanuel EMENIKE,Forward,9,10.05.1987,27,182,Nigeria,22,9
196789,Lukas PODOLSKI,Forward,10,04.06.1985,29,180,Germany,113,46
187203,HELDER POSTIGA,Forward,23,02.08.1982,31,182,Portugal,67,27
367261,Nabil GHILAS,Forward,9,20.04.1990,24,183,Algeria,5,2
207761,PARK Chuyoung,Forward,10,10.07.1985,28,183,South Korea,62,24
306548,Andre SCHUERRLE,Forward,9,06.11.1990,23,184,Germany,32,12
275136,Yuya OSAKO,Forward,18,18.05.1990,24,182,Japan,8,3
300411,Vedad IBISEVIC,Forward,9,06.08.1984,29,189,Bosnia & Herzegovina,55,20
233500,Keisuke HONDA,Forward,4,13.06.1986,28,182,Japan,55,20
274034,Danny WELBECK,Forward,11,26.11.1990,23,184,England,22,8
